,conf,image_id,cat_id,xtl,ytl,xbr,ybr,detection_id,pred,pred_score
0,0.9987728000000001,32,8,761.0,-0.5,949.0,102.5,6505,08_02,0.9999855756759644
1,0.9998306,32,1,615.5,38.5,670.5,95.5,6506,01_12,1.0
2,0.99807286,32,1,1045.5,20.0,1098.5,76.0,6507,01_12,0.9999899864196777
3,0.9787139000000001,33,7,949.0,327.0,979.0,347.0,6508,07_04,1.0
4,0.9760639000000001,33,7,1341.0,355.0,1419.0,383.0,6509,07_09,0.9991963505744934
5,0.9285475000000001,33,7,436.0,314.5,464.0,331.5,6510,07_04,0.9997605681419373
6,0.9996315,33,1,1339.5,267.5,1418.5,348.5,6511,01_20,1.0
7,0.9866765,33,1,434.0,286.0,462.0,314.0,6512,01_12,1.0
8,0.97366077,33,1,950.0,295.0,980.0,325.0,6513,01_12,1.0
9,0.9639118,34,8,729.5,20.5,766.5,61.5,6514,08_01,0.9894726872444153
10,0.8916978000000001,34,8,944.0,15.5,982.0,54.5,6515,08_01,0.9975879192352295
11,0.79728544,34,8,296.0,41.0,336.0,85.0,6516,08_01,0.9999973773956299
12,0.78244734,34,8,507.5,29.5,548.5,70.5,6517,08_01,0.9982230067253113
13,0.9990210999999999,34,1,134.5,296.0,175.5,338.0,6518,01_08,0.9998878240585327
14,0.99711376,34,1,1179.0,269.5,1217.0,308.5,6519,01_08,0.9992339611053467
15,0.67988354,35,8,750.0,57.5,788.0,98.5,6520,08_01,0.9999486207962036
16,0.301291,35,8,509.5,66.5,546.5,105.5,6521,08_01,0.9975396394729614
17,0.24983422,35,8,297.5,77.0,334.5,121.0,6522,08_01,0.9952688813209534
18,0.8243396999999999,36,8,552.0,87.5,584.0,118.5,6523,08_01,0.8820760250091553
19,0.77559316,36,8,725.0,82.0,757.0,114.0,6524,08_01,0.9990960359573364
20,0.5781130999999999,36,8,895.0,80.5,927.0,109.5,6525,08_01,0.9523481130599976
21,0.5221054,36,8,386.0,95.5,418.0,128.5,6526,08_01,0.9823051691055298
22,0.29998624,36,8,602.0,70.5,648.0,139.5,6527,08_02,0.9990599751472473
23,0.30970496,36,7,842.5,314.0,857.5,322.0,6528,07_01,0.9776967763900757
24,0.94546384,36,5,841.5,294.0,858.5,314.0,6529,05_05,0.9976488947868347
25,0.9937256,36,1,1061.0,274.0,1091.0,306.0,6530,01_08,0.9997835755348206
26,0.9915639,36,1,256.5,293.5,287.5,326.5,6531,01_08,0.9768398404121399
27,0.38799468,40,5,1062.0,272.0,1074.0,286.0,6532,05_06,0.9998400211334229
28,0.9996615,40,1,1502.5,307.5,1573.5,384.5,6533,01_06,1.0
29,0.9994208000000001,40,1,152.0,344.0,228.0,426.0,6534,01_06,1.0
30,0.98007363,41,8,869.0,1.0,945.0,87.0,6535,08_01,0.999988317489624
31,0.96934646,41,8,453.5,-4.0,532.5,104.0,6536,08_01,0.9991397857666016
32,0.9267315,41,8,961.0,9.0,1033.0,89.0,6537,08_01,0.9978705644607544
33,0.8398591000000001,41,8,663.0,0.0,739.0,98.0,6538,08_01,0.9991905093193054
34,0.49418363,41,1,961.0,9.0,1033.0,85.0,6539,08_01,0.999420166015625
35,0.9996459999999999,41,1,558.5,26.0,617.5,86.0,6540,01_06,1.0
36,0.99908197,41,1,767.5,19.0,822.5,79.0,6541,01_06,1.0
37,0.9593738000000002,41,1,1122.5,9.0,1143.5,33.0,6542,01_11,0.9305695295333862
38,0.9760913,42,8,446.0,29.0,530.0,133.0,6543,08_01,0.999933123588562
39,0.88553774,42,8,901.0,10.0,981.0,120.0,6544,08_01,0.9965435862541199
40,0.55885124,42,8,719.5,15.0,802.5,125.0,6545,08_01,0.9984720349311829
41,0.999461,42,1,641.0,54.0,701.0,116.0,6546,01_08,1.0
42,0.9994152000000001,42,1,821.5,47.5,880.5,110.5,6547,01_08,1.0
43,0.15363988,42,1,1219.5,-0.5,1250.5,10.5,6548,01_08,0.4417506456375122
44,0.99954695,43,8,699.5,23.5,774.5,100.5,6549,08_01,0.9999655485153198
45,0.99853635,43,8,899.0,18.5,975.0,99.5,6550,08_01,0.978440523147583
46,0.9982578999999999,43,8,490.0,8.0,572.0,112.0,6551,08_01,0.9999611377716064
47,0.89970267,43,8,1095.5,-1.0,1168.5,97.0,6552,08_01,0.9720073342323303
48,0.8236534,43,1,594.0,296.5,608.0,313.5,6553,01_12,0.9984707236289978
49,0.9988396,44,8,763.0,-1.0,969.0,87.0,6554,08_02,0.9992634654045105
50,0.999843,44,1,604.0,20.5,664.0,81.5,6555,01_12,0.9999998807907104
51,0.99956346,44,1,1070.5,2.0,1125.5,58.0,6556,01_12,0.9983415603637695
52,0.9999237,45,1,1314.5,329.0,1425.5,441.0,6557,01_08,0.9999998807907104
53,0.9996456,46,1,1223.5,308.0,1294.5,380.0,6558,01_08,1.0
54,0.9996351000000001,46,1,89.0,336.0,167.0,416.0,6559,01_08,1.0
55,0.99835736,47,7,1351.0,463.5,1439.0,528.5,6560,07_04,1.0
56,0.15867336,47,7,1051.5,308.0,1068.5,316.0,6561,01_08,0.559542715549469
57,0.99955744,47,1,1368.0,363.0,1446.0,461.0,6562,01_12,1.0
58,0.9927792999999999,47,1,1334.0,297.5,1354.0,316.5,6563,01_06,0.6464444994926453
59,0.9872056999999999,47,1,1050.5,290.5,1069.5,307.5,6564,01_08,0.9997982382774353
60,0.99674404,48,7,1143.5,354.0,1202.5,392.0,6565,07_04,1.0
61,0.9655783000000001,48,7,65.0,332.0,123.0,374.0,6566,07_04,1.0
62,0.9995758,48,1,63.5,270.5,120.5,329.5,6567,01_12,1.0
63,0.9995306,48,1,1146.0,289.0,1204.0,351.0,6568,01_12,1.0
64,0.9987091999999999,49,7,1271.0,380.5,1353.0,435.5,6569,07_04,1.0
65,0.17208688,49,7,98.5,3.0,321.5,51.0,6570,01_13,0.903978705406189
66,0.20183247,49,5,-0.5,355.0,6.5,379.0,6571,08_01,0.9602568745613098
67,0.9996895,49,1,1276.5,295.5,1353.5,378.5,6572,01_12,1.0
68,0.9996961,50,1,1132.5,307.5,1187.5,364.5,6573,01_08,1.0
69,0.9993669,50,1,57.5,317.5,112.5,376.5,6574,01_08,1.0
70,0.9989208,51,1,1310.0,340.5,1408.0,439.5,6575,01_08,1.0
71,0.998411,52,7,1146.0,358.0,1202.0,396.0,6576,07_04,1.0
72,0.9438780999999999,52,7,77.5,350.5,134.5,385.5,6577,07_04,1.0
73,0.9992681999999999,52,1,1150.0,300.0,1204.0,356.0,6578,01_12,1.0
74,0.9984513,52,1,77.0,290.0,133.0,348.0,6579,01_12,1.0
75,0.99804443,53,7,1349.0,421.5,1447.0,490.5,6580,07_04,1.0
76,0.9984058000000001,53,1,1365.5,323.5,1454.5,420.5,6581,01_12,1.0
77,0.9972578000000001,54,7,1305.5,455.0,1404.5,493.0,6582,07_02,1.0
78,0.9984779,54,1,1318.0,347.5,1410.0,444.5,6583,01_08,1.0
79,0.99772036,55,7,1161.5,379.5,1222.5,402.5,6584,07_02,1.0
80,0.99949145,55,1,76.0,330.0,136.0,388.0,6585,01_08,1.0
81,0.99946135,55,1,1165.0,311.0,1223.0,371.0,6586,01_08,1.0
82,0.9967955,56,7,1189.0,370.5,1247.0,411.5,6587,07_04,1.0
83,0.98172307,56,7,89.5,380.5,160.5,421.5,6588,07_04,1.0
84,0.9995902,56,1,1191.5,309.0,1248.5,369.0,6589,01_12,1.0
85,0.9993588999999999,56,1,86.0,319.5,148.0,380.5,6590,01_12,1.0
86,0.9995531999999999,57,7,1337.0,421.5,1431.0,492.5,6591,07_04,1.0
87,0.9990988000000001,57,1,1345.0,328.5,1433.0,423.5,6592,01_12,1.0
88,0.2929781,58,7,890.0,297.5,906.0,304.5,6593,08_01,0.5501829981803894
89,0.99813986,58,1,1404.0,348.0,1496.0,444.0,6594,01_08,1.0
90,0.89051944,58,1,890.5,283.5,905.5,296.5,6595,01_19,0.5845597982406616
91,0.68124676,58,1,849.5,290.0,860.5,302.0,6596,01_12,0.9746302962303162
92,0.9996224,59,1,49.5,296.5,112.5,361.5,6597,01_08,1.0
93,0.9994841,59,1,1228.5,311.5,1285.5,372.5,6598,01_08,1.0
94,0.8972638000000001,59,1,826.0,283.0,840.0,295.0,6599,01_18,0.7869343161582947
95,0.28828967,59,1,784.0,289.0,794.0,301.0,6600,01_12,0.8642255663871765
96,0.99891394,60,7,1294.0,483.5,1434.0,530.5,6601,07_02,1.0
97,0.9996914000000001,60,1,1302.0,348.0,1436.0,482.0,6602,01_08,1.0
98,0.9969694,61,7,1151.0,386.5,1227.0,413.5,6603,07_02,1.0
99,0.99120563,61,7,62.0,352.5,134.0,377.5,6604,07_02,1.0
100,0.99959046,61,1,1154.5,311.5,1227.5,384.5,6605,01_08,1.0
101,0.9995001,61,1,59.0,280.0,125.0,348.0,6606,01_08,1.0
102,0.99871296,62,7,1348.0,429.5,1448.0,498.5,6607,07_04,1.0
103,0.9963426,62,1,1356.5,336.0,1453.5,432.0,6608,01_12,1.0
104,0.99812603,63,7,1196.0,369.5,1260.0,412.5,6609,07_04,1.0
